cores,time_seconds
28,309.366800
40,315.068084
10,332.250535
56,333.914732
6,347.784349
24,351.343959
48,356.867925
16,358.991699
12,364.933352
14,369.665094
20,371.560425
8,373.779124
4,382.925202
36,437.747799
64,467.502190
44,479.187638
52,521.796542
60,528.703077
32,533.320094
2,609.010450
28,319.601809
40,327.012368
10,334.537816
56,340.602484
48,323.579429
6,356.660737
24,358.985854
16,356.774007
12,371.252914
14,372.521504
1,750.981387
8,378.745432
4,384.606418
20,400.405877
36,432.794406
64,475.102128
28,320.006865
44,488.054081
40,335.248832
10,326.565478
48,323.219287
56,338.510786
6,345.670321
52,532.841910
60,531.361920
24,363.781651
32,539.204296
16,359.060870
12,356.243266
8,363.324771
14,373.797041
4,379.520185
20,400.907822
2,641.849152
28,319.622921
40,327.903653
36,451.158661
10,329.357148
48,323.053941
56,330.973811
64,450.605567
6,351.821507
16,343.880340
24,355.097369
12,359.872387
44,501.311748
14,371.086150
1,744.203567
8,388.377515
4,387.651310
20,384.024461
28,315.044056
60,526.730795
52,537.249949
32,521.056128
40,321.541259
48,318.912745
10,328.041311
56,337.850975
6,350.298916
16,353.925677
36,451.863881
24,363.983865
12,354.392139
64,451.418894
14,365.138749
2,616.271937
8,372.814572
20,324.247462
28,316.178966
4,378.068519
40,305.585337
44,481.118002
10,335.418188
56,329.794135
48,369.677924
6,344.847082
60,518.623563
16,357.415214
32,550.615202
24,362.623921
52,572.252689
12,364.204185
